"Place","Geo","Total Population, 1960","Total Population, 1970","Total Population, 1980","Total Population, 1990","Total Population, 2000"
"Holden town, Penobscot County, Maine","Town","1,375","1,841","2,554","2,952","2,827"
"Howland town, Penobscot County, Maine","Town","1,362","1,468","1,602","1,435","1,362"
"Hudson town, Penobscot County, Maine","Town","542","482","797","1,048","1,393"
"Kenduskeag town, Penobscot County, Maine","Town","584","733","1,210","1,234","1,171"
"Kingman UT,Penobscot County, Maine","Town","0","264","281","246","213"
"Lagrange town, Penobscot County, Maine","Town","424","393","509","557","747"
"Lakeville town, Penobscot County, Maine","Town","21","15","32","45","63"
"Lee town, Penobscot County, Maine","Town","555","599","688","832","845"
"Levant town, Penobscot County, Maine","Town","765","802","1,117","1,627","2,171"
"Lincoln town, Penobscot County, Maine","Town","4,541","4,759","5,066","5,587","5,221"
"Lowell town, Penobscot County, Maine","Town","132","154","194","267","291"
"Mattawamkeag town, Penobscot County, Maine","Town","945","988","1,000","830","825"
"Maxfield town, Penobscot County, Maine","Town","39","24","64","86","87"
"Medway town, Penobscot County, Maine","Town","1,266","1,491","1,871","1,922","1,489"
"Milford town, Penobscot County, Maine","Town","1,572","1,828","2,160","2,884","2,950"
"Millinocket town, Penobscot County, Maine","Town","7,453","7,742","7,567","6,956","5,203"
"Mount Chase town, Penobscot County, Maine","Town","179","197","233","254","247"
"Newburgh town, Penobscot County, Maine","Town","636","835","1,228","1,317","1,394"
"Newport town, Penobscot County, Maine","Town","2,322","2,260","2,755","3,036","3,017"
"North Penobscot UT,Penobscot County, Maine","Town","0","175","246","403","443"
"Old Town city, Penobscot County, Maine","Town","8,626","9,057","8,422","8,317","8,130"
"Orono town, Penobscot County, Maine","Town","8,341","9,989","10,578","10,573","9,112"
"Orrington town, Penobscot County, Maine","Town","2,539","2,702","3,244","3,309","3,526"
"Passadumkeag town, Penobscot County, Maine","Town","355","326","430","428","441"
"Patten town, Penobscot County, Maine","Town","1,312","1,266","1,368","1,256","1,111"
"Penobscot Indian Island Reservation,Penobscot County, Maine","Town","383","317","458","476","562"
"Plymouth town, Penobscot County, Maine","Town","494","542","811","1,152","1,257"
"Prentiss UT,Penobscot County, Maine","Town","227","159","205","245","214"
"Seboeis plantation,Penobscot County, Maine","Town","77","63","53","40","41"
"Springfield town, Penobscot County, Maine","Town","426","336","443","406","379"
"Stacyville town, Penobscot County, Maine","Town","673","547","554","480","405"
"Stetson town, Penobscot County, Maine","Town","420","395","618","847","981"
"Twombly UT,Penobscot County, Maine","Town","0","0","0","0","2"
"Veazie town, Penobscot County, Maine","Town","1,354","1,556","1,610","1,633","1,744"
"Webster plantation,Penobscot County, Maine","Town","79","56","82","95","82"
